station,valid, drct ,  sknt
SJT,2013-01-01 00:51,350.00,3.00
SJT,2013-01-01 01:51,280.00,4.00
SJT,2013-01-01 02:51,0.00,0.00
SJT,2013-01-01 03:51,200.00,5.00
SJT,2013-01-01 04:51,220.00,6.00
SJT,2013-01-01 05:51,270.00,6.00
SJT,2013-01-01 06:51,270.00,6.00
SJT,2013-01-01 07:51,270.00,4.00
SJT,2013-01-01 08:51,60.00,4.00
SJT,2013-01-01 09:51,90.00,4.00
SJT,2013-01-01 10:51,80.00,4.00
SJT,2013-01-01 11:51,60.00,8.00
SJT,2013-01-01 12:40,50.00,7.00
SJT,2013-01-01 12:51,50.00,8.00
SJT,2013-01-01 13:51,30.00,8.00
SJT,2013-01-01 14:51,340.00,12.00
SJT,2013-01-01 15:51,360.00,8.00
SJT,2013-01-01 16:39,360.00,4.00
SJT,2013-01-01 16:51,350.00,5.00
SJT,2013-01-01 17:51,350.00,8.00
SJT,2013-01-01 18:51,340.00,10.00
SJT,2013-01-01 19:51,20.00,6.00
SJT,2013-01-01 20:51,340.00,5.00
SJT,2013-01-01 21:51,10.00,7.00
SJT,2013-01-01 22:51,340.00,7.00
SJT,2013-01-01 23:51,340.00,6.00
SJT,2013-01-02 00:51,60.00,7.00
SJT,2013-01-02 01:51,70.00,4.00
SJT,2013-01-02 02:51,60.00,5.00
SJT,2013-01-02 03:51,70.00,6.00
SJT,2013-01-02 04:51,60.00,7.00
SJT,2013-01-02 05:51,50.00,9.00
SJT,2013-01-02 06:51,50.00,6.00
SJT,2013-01-02 07:51,0.00,0.00
SJT,2013-01-02 08:51,110.00,3.00
SJT,2013-01-02 09:51,0.00,0.00
SJT,2013-01-02 10:51,0.00,0.00
SJT,2013-01-02 11:51,0.00,0.00
SJT,2013-01-02 12:51,10.00,3.00
SJT,2013-01-02 13:51,0.00,0.00
SJT,2013-01-02 14:51,0.00,0.00
SJT,2013-01-02 15:51,0.00,0.00
SJT,2013-01-02 16:51,50.00,5.00
SJT,2013-01-02 17:51,nan,3.00
SJT,2013-01-02 18:51,90.00,6.00
SJT,2013-01-02 19:51,70.00,7.00
SJT,2013-01-02 20:51,nan,6.00
SJT,2013-01-02 21:51,90.00,6.00
SJT,2013-01-02 22:51,90.00,6.00
SJT,2013-01-02 23:51,100.00,6.00
SJT,2013-01-03 00:51,120.00,5.00
SJT,2013-01-03 01:51,140.00,4.00
SJT,2013-01-03 02:51,150.00,5.00
SJT,2013-01-03 03:51,160.00,5.00
SJT,2013-01-03 04:51,0.00,0.00
SJT,2013-01-03 05:51,0.00,0.00
SJT,2013-01-03 06:51,0.00,0.00
SJT,2013-01-03 07:51,0.00,0.00
SJT,2013-01-03 08:51,210.00,4.00
SJT,2013-01-03 09:51,0.00,0.00
SJT,2013-01-03 10:51,250.00,3.00
SJT,2013-01-03 11:51,0.00,0.00
SJT,2013-01-03 12:51,0.00,0.00
SJT,2013-01-03 13:51,0.00,0.00
SJT,2013-01-03 14:51,40.00,10.00
SJT,2013-01-03 15:51,50.00,12.00
SJT,2013-01-03 16:51,60.00,8.00
SJT,2013-01-03 17:51,50.00,7.00
SJT,2013-01-03 18:51,50.00,7.00
