PlantId,year,Month,PlantName,OperatorName,OperatorId,PlantState,CensusRegion,NERCRegion,ReportedPrimeMover,ReportedFuelTypeCode,Netgen,NetGenerationMegawatthours,cap,month_id,daysmonth,monthyear,CF,C_WW,C_FC,Gen_C,Gen_WW,Gen_FC,season,CF_C,CF_WW,CF_FC,seasonyear,align_raw,align_spd,align_spd3,CF_WW_hat,CF_WW_hat_no,CFrat,CFrat_no,CFdiff,CFdiff_no
56355,2009,January,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,1,31,1,,0,0,53817,,,1,.36167338,,,1,.56354916,.53935498,.50002462,.28503707,.28503707,,,,
56355,2009,February,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,2,28,2,,0,0,55327,,,1,.41165924,,,1,.52319902,.54483318,.57583535,.32124442,.32124442,,,,
56355,2009,March,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,3,31,3,,0,0,56233,,,2,.37790996,,,2,.48993206,.51440936,.53784907,.26697987,.26697987,,,,
56355,2009,April,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,4,30,4,,0,0,57011,,,2,.39590973,,,2,.42040357,.44025579,.47769329,.2787101,.2787101,,,,
56355,2009,May,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,5,31,5,,0,0,42069,,,2,.28272179,,,2,.53545487,.5618546,.63555223,.22657385,.22657385,,,,
56355,2009,June,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,6,30,6,,0,0,26127,,,3,.18143751,,,3,.43862578,.43174937,.44860941,.077625602,.077625602,,,,
56355,2009,July,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,7,31,7,,0,0,19906,,,3,.13377689,,,3,.49819762,.50415158,.52884936,.059462141,.059462141,,,,
56355,2009,August,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,8,31,8,,0,0,28092,,,3,.18879032,,,3,.51782078,.53748053,.57482922,.11764426,.11764426,,,,
56355,2009,September,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,9,30,9,,0,0,17053,,,4,.11842361,,,4,.44235837,.45421916,.48652092,.060465444,.060465444,,,,
56355,2009,October,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,4362,40919,200,10,31,10,.0293145161122084,200,0,42692,4362,,4,.2869086,.029314516,,4,.49327484,.50185394,.52375716,.23345999,.23345999,7.9639721,7.9639721,.20414548,.20414548
